LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,2.4915114608057497e-13,1.7375455773850502e-15,0.24871898550729507,0.8035781619334759
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,-1.6515318771209124e-09,1e-06,-0.0016515302255906868,0.9986822701303315
Progress_Rate,~,gov_cap,-2.423220361340226e-13,1.0966291137870555e-16,-0.24229546530788307,0.8085512272704078
Spending_CV,~,recovery_outcome,1.0,-,-,-
Completion_Pct,~,recovery_outcome,-0.10343287322690344,0.034352045708664826,-3.0109669188581387,0.002604172225832091
gov_cap,~~,gov_cap,0.05,4.277605416870893e-27,49999999999.999794,0.0
recovery_outcome,~~,recovery_outcome,0.49963764082520923,0.06877572164140545,7.264738615510864,3.737010700888277e-13
Completion_Pct,~~,Completion_Pct,0.043628543340671316,0.004958578710021163,8.798598526569826,0.0
Progress_Rate,~~,Progress_Rate,0.0489554021702938,0.004525928531691163,10.816653824002039,0.0
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,3.250437676836551e+24,1e-06,3.2504344264021246e+30,0.0
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,23625697068.5289,3.0038843139710765e-21,2.362569699756004e+22,0.0
Spending_CV,~~,Spending_CV,0.9966580295567142,0.06973747984756143,14.291569350097092,0.0
